filename, language, JSON, Properties, XML, PHP, YAML, Ignore, Markdown, JavaScript, SCSS, CSS, comment, blank, total
.editorconfig, Properties, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
.gitattributes, Properties, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
.styleci.yml, YAML, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
app\BlogPost.php, PHP, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
app\Console\Kernel.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 19, 7, 43
app\Exceptions\Handler.php, PHP, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 24, 7, 52
app\Http\Controllers\Auth\ForgotPasswordController.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 15, 6, 33
app\Http\Controllers\Auth\LoginController.php, PHP, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 20, 7, 40
app\Http\Controllers\Auth\RegisterController.php, PHP, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 32, 9, 73
app\Http\Controllers\Auth\ResetPasswordController.php, PHP, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 20, 7, 40
app\Http\Controllers\Auth\VerificationController.php, PHP, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 20, 7, 42
app\Http\Controllers\Controller.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
app\Http\Controllers\HomeController.php, PHP, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
app\Http\Controllers\PostController.php, PHP, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 11, 43
app\Http\Kernel.php, PHP, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 27, 8, 81
app\Http\Middleware\Authenticate.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
app\Http\Middleware\CheckForMaintenanceMode.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
app\Http\Middleware\EncryptCookies.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
app\Http\Middleware\RedirectIfAuthenticated.php, PHP, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 5, 27
app\Http\Middleware\TrimStrings.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
app\Http\Middleware\TrustProxies.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
app\Http\Middleware\VerifyCsrfToken.php, PHP, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 11, 5, 25
app\Http\Requests\StorePost.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 10, 5, 32
app\Providers\AppServiceProvider.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12, 5, 29
app\Providers\AuthServiceProvider.php, PHP, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 6, 31
app\Providers\BroadcastServiceProvider.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 5, 22
app\Providers\EventServiceProvider.php, PHP, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 11, 6, 35
app\Providers\RouteServiceProvider.php, PHP, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 33, 11, 74
app\User.php, PHP, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 15, 7, 40
bootstrap\app.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 30, 9, 56
bootstrap\cache\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
composer.json, JSON, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
composer.lock, JSON, 4668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4669
config\app.php, PHP, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 120, 33, 232
config\auth.php, PHP, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 60, 13, 104
config\broadcasting.php, PHP, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22, 12, 60
config\cache.php, PHP, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 34, 18, 103
config\database.php, PHP, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 45, 22, 146
config\filesystems.php, PHP, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 32, 13, 70
config\hashing.php, PHP, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 32, 9, 53
config\logging.php, PHP, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 24, 15, 95
config\mail.php, PHP, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 93, 23, 137
config\queue.php, PHP, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 32, 15, 88
config\services.php, PHP, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 11, 9, 48
config\session.php, PHP, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 145, 33, 200
config\view.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
database\.gitignore, Ignore, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
database\factories\UserFactory.php, PHP, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 11, 4, 28
database\migrations\2014_10_12_000000_create_users_table.php, PHP, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 10, 4, 37
database\migrations\2014_10_12_100000_create_password_resets_table.php, PHP, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 4, 33
database\migrations\2019_09_02_194216_create_blogposts_table.php, PHP, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 10, 4, 32
database\migrations\2019_09_02_195024_add_title_content_to_blogposts_table.php, PHP, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 4, 34
database\migrations\2019_09_02_201048_change_blogposts_table_name.php, PHP, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 10, 4, 31
database\seeds\DatabaseSeeder.php, PHP, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 3, 17
package.json, JSON, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
phpunit.xml, XML, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
public\css\app.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 8
public\index.php, PHP, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 39, 12, 61
public\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
readme.md, Markdown, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 18, 73
resources\js\app.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 19, 8, 33
resources\js\bootstrap.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 28, 14, 56
resources\lang\en\auth.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
resources\lang\en\pagination.php, PHP, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
